income_group,population,gdp_usd,total_electricity_generation_twh,electricity_demand_twh,solar_electricity_twh,wind_electricity_twh,renewables_electricity_twh,hydro_electricity_twh,nuclear_electricity_twh,fossil_electricity_twh,solar_share_pct,wind_share_pct,renewables_share_pct,fossil_share_pct,low_carbon_share_pct,carbon_intensity_gco2_kwh,co2_saved_solar_wind_mt,solar_yoy_growth_pct,wind_yoy_growth_pct,renewables_yoy_growth_pct,difference,indicator
1,30903894.0,0.03838839616916,0.0147032823989975,0.0135003504483942,0.0,0.0,0.0002569785744113,0.0004266530137702,0.0,0.0580464033747909,0.0,0.0,0.0021718100162334,0.998024310012837,0.001975689987163,0.5448685462288727,0.0,0.375,0.375,1.0,0.0700000000000002,2
1,31331226.0,0.0425388444407162,0.0165994773806864,0.0152831443308232,0.0,0.0,0.0003597700041759,0.0005973142192783,0.0,0.0608393337697287,0.0,0.0,0.0028994214937532,0.9973624037227216,0.0026375962772785,0.5445662514559049,0.0,0.375,0.375,1.0,0.0500000000000007,2
1,31750832.0,0.0486644040883348,0.0182003633078499,0.0168071455528997,0.0,0.0,0.0003083742892936,0.0005119836165242,0.0,0.0632598734453415,0.0,0.0,0.0023922983427546,0.9978237323491655,0.0021762676508344,0.544335084864812,0.0,0.375,0.375,0.1556122448979592,0.0199999999999995,2
1,32175813.0,0.0565396585112424,0.0211845390167374,0.0196107327067196,0.0,0.0,0.001336288586939,0.0022185956716051,0.0,0.0672630736780856,0.0,0.0,0.0096904619506051,0.9911846116816432,0.0088153883183568,0.5408764770211517,0.0,0.375,0.375,1.0,-0.009999999999998,0
1,32628286.0,0.0630181958148289,0.0237956927620139,0.0220261308700106,0.0,0.0,0.0012848928720567,0.0021332650688511,0.0,0.0711964506509564,0.0,0.0,0.0088195330608465,0.9919768934531452,0.0080231065468549,0.5412943550896658,0.0,0.375,0.375,0.3341836734693877,-0.0100000000000015,0
1,33109258.0,0.0714164241161962,0.0279300195253684,0.0259511528853584,0.0,0.0,0.0028267643185249,0.0046931831514724,0.0,0.0766892137610008,0.0,0.0,0.0178816032808663,0.9837331514762516,0.0162668485237483,0.5366265681541347,0.0,0.375,0.375,1.0,-0.0800000000000054,0
1,33623505.0,0.0766793484542718,0.0299816403252285,0.0278489657279442,0.0,0.0,0.0011307057274099,0.0018772732605889,0.0,0.0805294930540403,0.0,0.0,0.0068792357874602,0.9937419768934532,0.0062580231065468,0.5424146239541934,0.0,0.375,0.375,0.0,-0.0800000000000054,0
1,34189420.0,0.0839270541329262,0.0330279863613844,0.0305662886616465,0.0,0.0,0.0011307057274099,0.0018772732605889,0.0,0.085091279365772,0.0,0.0,0.0065264544650264,0.9940629011553276,0.0059370988446726,0.5425035341815367,0.0,0.375,0.375,0.3988095238095238,-0.0100000000000051,0
1,34816963.0,0.0906256821715405,0.0377529312337895,0.0348507449274841,0.0,0.0,0.0014390800167036,0.0023892568771132,0.0,0.0920270565132009,0.0,0.0,0.0076729937629364,0.9930198973042362,0.0069801026957637,0.5419967458856791,0.0,0.375,0.375,0.8630952380952381,0.0499999999999971,2
1,35490442.0,0.0969323135835363,0.0350640645794274,0.0323922146541343,0.0,0.0,0.0015418714464681,0.0025599180826213,0.0,0.0879540330205833,0.0,0.0,0.0085880203179992,0.9921875,0.0078125,0.5412854640669315,0.0,0.375,0.375,0.5195578231292517,0.0300000000000011,2
1,36188237.0,0.10599422166168,0.0463013512332067,0.042729543698219,0.0,0.0,0.0008737271529986,0.0014506202468187,0.0,0.1050840061095352,0.0,0.0,0.0041010828732936,0.9962692554557124,0.0037307445442875,0.5434637646368461,0.0,0.375,0.375,0.0,0.0700000000000002,2
1,36903374.0,0.1147391921147841,0.0548342286508067,0.0505220782488363,0.0,0.0,0.0025697857441135,0.0042665301377022,0.0,0.1170936068077678,0.0,0.0,0.0107598303342327,0.9902118100128372,0.009788189987163,0.5402185413388101,0.0,0.375,0.375,1.0,0.1400000000000005,2
1,37646165.0,0.1193147921422082,0.0644395442137882,0.0595366892511187,0.0,0.0,0.0031865343227008,0.0052904973707508,0.0,0.1311979053022038,0.0,0.0,0.0119063696321427,0.989168806161746,0.0108311938382541,0.5396850799747495,0.0,0.375,0.375,0.8069727891156463,0.0499999999999971,2
1,38414176.0,0.1232110538619502,0.0683096470862516,0.063059144905918,0.0,0.0,0.0016960585911149,0.0028159098908834,0.0,0.1376681940504764,0.0,0.0,0.006074453395658,0.9944740853658536,0.0055259146341463,0.5425746623634116,0.0,0.375,0.375,0.0,0.0900000000000034,2
1,39205035.0,0.1286468929119044,0.075117297922151,0.0692126592743022,0.0,0.0,0.0012848928720567,0.0021332650688511,0.0,0.1480485853516619,0.0,0.0,0.0042884979508366,0.9960987644415918,0.0039012355584082,0.5434637646368461,0.0,0.375,0.375,0.0,0.1899999999999977,2
1,40019528.0,0.134140817803712,0.0822202578125759,0.0760131552935679,0.0094581280788177,0.0011831694150706,0.0011307057274099,0.0011946284385566,0.0,0.1587548185322569,0.0233870967741935,0.0037186042411322,0.0035278132243386,0.996790757381258,0.0032092426187419,0.5438371875916885,0.0032935364347468,0.375,0.375,0.1947278911564626,0.0300000000000011,2
1,40850719.0,0.1390681164617287,0.0856396258123427,0.0788598745574466,0.0141871921182266,0.0017747541226059,0.0017474543059972,0.0018772732605889,0.0,0.1635958978834824,0.0341397849462365,0.0053855647630191,0.0052806954201818,0.9951961649550708,0.0048038350449293,0.5429303032727854,0.0041169205434335,0.7083333333333334,0.8320383912248629,1.0,0.25,2
1,41689302.0,0.1412928011098081,0.0934575444663551,0.0859622953471236,0.0898522167487684,0.0005915847075353,0.0032893257524653,0.0005119836165242,0.0,0.174604698523529,0.2013440860215053,0.0016669605218868,0.0092715341302148,0.9915657092426188,0.0084342907573812,0.5409298231575577,0.0214079868258542,1.0,0.0,1.0,0.3399999999999892,2
1,42505033.0,0.1432263483679784,0.0945144400299194,0.0872993907589454,0.1087684729064039,0.0005915847075353,0.0042144486203462,0.0010239672330485,0.0,0.1757684195214198,0.2416666666666666,0.0016669605218868,0.01177407663623,0.9892891527599488,0.0107108472400513,0.5396406248610778,0.0263482914779744,0.5156666666666667,0.375,0.8767006802721089,0.0900000000000034,2
1,43294551.0,0.1448569909994824,0.1020681347930408,0.0942149057383678,0.1119211822660098,0.0005915847075353,0.0044714271947576,0.0012799590413106,0.0,0.1869634155211288,0.2338709677419354,0.001538732789434,0.0117520278035779,0.9893092105263158,0.0106907894736842,0.5397028620202181,0.0263482914779744,0.3943333333333333,0.375,0.5025510204081634,0.1400000000000005,2
1,44042094.0,0.136457580470835,0.0985865964660054,0.0911093938141365,0.1292610837438423,0.0005915847075353,0.0045228229096399,0.0004266530137702,0.0,0.1817266710306204,0.2776881720430107,0.0016669605218868,0.0122260777055984,0.9888779685494224,0.0111220314505776,0.5395606056564686,0.0304652120214079,0.4783333333333333,0.375,0.4175170068027211,0.0600000000000022,2
1,44761099.0,0.1417716083528005,0.1082696249380725,0.0984993620042053,0.1245320197044335,0.0005915847075353,0.004163052905464,8.533060275404521e-05,0.0,0.196389555604044,0.2481182795698924,0.001538732789434,0.0104290978444509,0.990512676508344,0.0094873234916559,0.5403785797480283,0.0296418279127212,0.3503333333333333,0.375,0.2627551020408163,1.1499999999999917,2
1,45477391.0,0.1465083774329458,0.1173931204647232,0.1048972916629225,0.1308374384236453,0.0005915847075353,0.0044200314798753,0.000170661205508,0.0,0.2099352680194923,0.2438172043010752,0.0014105050569811,0.0103629513464946,0.9905728498074456,0.0094271501925545,0.5404852720208404,0.0312885961300946,0.409,0.375,0.5042517006802721,2.569999999999993,2
1,46164222.0,0.1465083774329458,0.124247399046074,0.111424617651816,0.1371428571428571,0.0011831694150706,0.0046770100542867,0.000170661205508,0.0,0.2200829151210997,0.2438172043010752,0.0026927823815095,0.0104621710934291,0.9904825898587934,0.0095174101412066,0.5404497079299031,0.0329353643474681,0.407,1.0,0.4974489795918367,2.4399999999999977,2
1,46814302.0,0.1465083774329458,0.1249934429732959,0.1119997124525996,0.1560591133004926,0.0011831694150706,0.0052937586328739,0.000170661205508,0.0,0.2209207942395811,0.2760752688172042,0.0026927823815095,0.0117851010525561,0.9892791238767652,0.0107208761232349,0.539854009406702,0.0370522848909016,0.467,0.375,0.6232993197278912,2.519999999999996,2
2,37213986.0,0.1299416147555336,0.1135230175922598,0.1067663497654691,0.0,0.0017747541226059,0.1490475731585878,0.2438748626710611,0.071860465116279,0.1242621281547749,0.0,0.0043597429033964,0.3593077768988869,0.6034880455712452,0.3965119544287548,0.2931548015968277,0.0008233841086867,0.375,0.9846892138939672,0.8681972789115647,-1.2199999999999989,0
2,37624817.0,0.1239073270256071,0.1153259570830459,0.1091961252987797,0.0,0.0029579235376765,0.190112749349523,0.3121393448742973,0.0820930232558139,0.1063175503672994,0.0,0.0070525252849059,0.4523979483561218,0.5099085365853658,0.4900914634146341,0.2456945222408933,0.0016467682173734,0.375,0.9846892138939672,0.8681972789115647,-1.75,0
2,38029345.0,0.1087449879807231,0.1066998241745432,0.1072120482360764,0.0,0.0041410929527471,0.1869776107417044,0.3053128966539737,0.0676744186046511,0.0977060149829078,0.0,0.0106429017935854,0.4741270729347823,0.4996790757381258,0.5003209242618742,0.2392396397357588,0.0024701523260601,0.375,0.7406307129798904,0.3715986394557823,-5.920000000000002,0
2,38424283.0,0.1206232117928209,0.1183256753737505,0.1166867350789856,0.0,0.0047326776602824,0.1786515049307763,0.2884174373086727,0.0880232558139535,0.1148127136519019,0.0,0.0111558127233967,0.416215813973999,0.5389120667522466,0.4610879332477535,0.2584086847510068,0.0032935364347468,0.375,0.5057129798903108,0.3222789115646258,-5.030000000000001,0
2,38815915.0,0.1338014892235858,0.1310550498819735,0.1262189314019733,0.0,0.0041410929527471,0.1613825447303331,0.2599170159888217,0.0915116279069767,0.1409964361044439,0.0,0.0089759412716985,0.3452736949158148,0.6071887034659821,0.392811296534018,0.2951108265983836,0.0024701523260601,0.375,0.2607404021937842,0.233843537414966,-3.469999999999999,0
