country,region,income_group,year,population,gdp_usd,total_electricity_generation_twh,electricity_demand_twh,solar_electricity_twh,wind_electricity_twh,renewables_electricity_twh,hydro_electricity_twh,nuclear_electricity_twh,fossil_electricity_twh,solar_share_pct,wind_share_pct,renewables_share_pct,fossil_share_pct,low_carbon_share_pct,carbon_intensity_gco2_kwh,co2_saved_solar_wind_mt,solar_yoy_growth_pct,wind_yoy_growth_pct,renewables_yoy_growth_pct,difference,indicator
Algeria,Africa,1,2000,30903894.0,0.03838839616916002,0.014703282398997503,0.013500350448394226,0.0,0.0,0.0002569785744113584,0.00042665301377022604,0.0,0.05804640337479091,0.0,0.0,0.0021718100162334535,0.998024310012837,0.00197568998716303,0.5448685462288727,0.0,0.375,0.375,1.0,0.07000000000000028,2
Algeria,Africa,1,2001,31331226.0,0.04253884444071629,0.016599477380686404,0.015283144330823284,0.0,0.0,0.00035977000417590185,0.0005973142192783165,0.0,0.06083933376972872,0.0,0.0,0.0028994214937532905,0.9973624037227216,0.0026375962772785624,0.5445662514559049,0.0,0.375,0.375,1.0,0.05000000000000071,2
Algeria,Africa,1,2002,31750832.0,0.04866440408833485,0.018200363307849975,0.016807145552899735,0.0,0.0,0.0003083742892936301,0.0005119836165242712,0.0,0.0632598734453415,0.0,0.0,0.002392298342754616,0.9978237323491657,0.0021762676508344033,0.544335084864812,0.0,0.375,0.375,0.1556122448979592,0.019999999999999574,2
Algeria,Africa,1,2003,32175813.0,0.056539658511242416,0.021184539016737416,0.019610732706719626,0.0,0.0,0.001336288586939064,0.0022185956716051754,0.0,0.06726307367808569,0.0,0.0,0.009690461950605104,0.9911846116816432,0.008815388318356869,0.5408764770211517,0.0,0.375,0.375,1.0,-0.00999999999999801,0
Algeria,Africa,1,2004,32628286.0,0.06301819581482895,0.023795692762013928,0.02202613087001061,0.0,0.0,0.0012848928720567922,0.00213326506885113,0.0,0.07119645065095645,0.0,0.0,0.008819533060846511,0.9919768934531451,0.008023106546854944,0.5412943550896658,0.0,0.375,0.375,0.33418367346938777,-0.010000000000001563,0
Algeria,Africa,1,2005,33109258.0,0.07141642411619627,0.027930019525368405,0.02595115288535845,0.0,0.0,0.002826764318524943,0.0046931831514724865,0.0,0.07668921376100082,0.0,0.0,0.017881603280866302,0.9837331514762516,0.016266848523748396,0.5366265681541347,0.0,0.375,0.375,1.0,-0.0800000000000054,0
Algeria,Africa,1,2006,33623505.0,0.07667934845427185,0.029981640325228518,0.027848965727944222,0.0,0.0,0.0011307057274099772,0.0018772732605889947,0.0,0.08052949305404031,0.0,0.0,0.006879235787460279,0.9937419768934532,0.006258023106546855,0.5424146239541934,0.0,0.375,0.375,0.0,-0.0800000000000054,0
Algeria,Africa,1,2007,34189420.0,0.0839270541329262,0.03302798636138446,0.030566288661646575,0.0,0.0,0.0011307057274099772,0.0018772732605889947,0.0,0.08509127936577207,0.0,0.0,0.0065264544650264185,0.9940629011553275,0.005937098844672657,0.5425035341815367,0.0,0.375,0.375,0.39880952380952384,-0.010000000000005116,0
Algeria,Africa,1,2008,34816963.0,0.09062568217154059,0.037752931233789574,0.03485074492748414,0.0,0.0,0.0014390800167036074,0.002389256877113266,0.0,0.09202705651320099,0.0,0.0,0.007672993762936464,0.9930198973042362,0.006980102695763799,0.5419967458856791,0.0,0.375,0.375,0.8630952380952381,0.04999999999999716,2
Algeria,Africa,1,2009,35490442.0,0.09693231358353638,0.035064064579427456,0.032392214654134395,0.0,0.0,0.0015418714464681506,0.002559918082621356,0.0,0.08795403302058334,0.0,0.0,0.00858802031799929,0.9921875000000001,0.0078125,0.5412854640669315,0.0,0.375,0.375,0.5195578231292517,0.030000000000001137,2
Algeria,Africa,1,2010,36188237.0,0.10599422166168006,0.04630135123320672,0.042729543698219005,0.0,0.0,0.0008737271529986187,0.0014506202468187687,0.0,0.10508400610953526,0.0,0.0,0.004101082873293628,0.9962692554557125,0.0037307445442875484,0.5434637646368461,0.0,0.375,0.375,0.0,0.07000000000000028,2
Algeria,Africa,1,2011,36903374.0,0.11473919211478416,0.054834228650806754,0.05052207824883634,0.0,0.0,0.0025697857441135843,0.00426653013770226,0.0,0.11709360680776787,0.0,0.0,0.010759830334232744,0.9902118100128371,0.00978818998716303,0.5402185413388101,0.0,0.375,0.375,1.0,0.14000000000000057,2
Algeria,Africa,1,2012,37646165.0,0.1193147921422082,0.06443954421378821,0.059536689251118755,0.0,0.0,0.0031865343227008448,0.005290497370750802,0.0,0.13119790530220382,0.0,0.0,0.011906369632142791,0.989168806161746,0.010831193838254174,0.5396850799747495,0.0,0.375,0.375,0.8069727891156463,0.04999999999999716,2
Algeria,Africa,1,2013,38414176.0,0.12321105386195026,0.06830964708625162,0.06305914490591809,0.0,0.0,0.0016960585911149656,0.002815909890883492,0.0,0.13766819405047642,0.0,0.0,0.0060744533956580355,0.9944740853658537,0.005525914634146342,0.5425746623634116,0.0,0.375,0.375,0.0,0.09000000000000341,2
Algeria,Africa,1,2014,39205035.0,0.1286468929119044,0.07511729792215109,0.06921265927430226,0.0,0.0,0.0012848928720567922,0.00213326506885113,0.0,0.14804858535166196,0.0,0.0,0.0042884979508366165,0.9960987644415918,0.003901235558408216,0.5434637646368461,0.0,0.375,0.375,0.0,0.18999999999999773,2
Algeria,Africa,1,2015,40019528.0,0.134140817803712,0.0822202578125759,0.07601315529356793,0.009458128078817733,0.0011831694150706202,0.0011307057274099772,0.001194628438556633,0.0,0.15875481853225692,0.023387096774193546,0.0037186042411322517,0.0035278132243386044,0.9967907573812581,0.003209242618741977,0.5438371875916885,0.0032935364347468094,0.375,0.375,0.1947278911564626,0.030000000000001137,2
Algeria,Africa,1,2016,40850719.0,0.13906811646172873,0.08563962581234277,0.0788598745574466,0.0141871921182266,0.0017747541226059303,0.0017474543059972374,0.0018772732605889947,0.0,0.16359589788348247,0.03413978494623656,0.0053855647630191225,0.005280695420181849,0.9951961649550707,0.004803835044929396,0.5429303032727854,0.004116920543433512,0.7083333333333334,0.8320383912248629,1.0,0.25,2
Algeria,Africa,1,2017,41689302.0,0.14129280110980813,0.09345754446635517,0.08596229534712364,0.08985221674876846,0.0005915847075353101,0.003289325752465388,0.0005119836165242712,0.0,0.17460469852352903,0.20134408602150536,0.0016669605218868713,0.009271534130214894,0.9915657092426189,0.008434290757381257,0.5409298231575577,0.02140798682585426,1.0,0.0,1.0,0.3399999999999892,2
Algeria,Africa,1,2018,42505033.0,0.14322634836797843,0.09451444002991947,0.08729939075894542,0.10876847290640393,0.0005915847075353101,0.004214448620346278,0.0010239672330485425,0.0,0.1757684195214198,0.24166666666666667,0.0016669605218868713,0.011774076636230093,0.9892891527599488,0.01071084724005135,0.5396406248610778,0.026348291477974475,0.5156666666666667,0.375,0.8767006802721089,0.09000000000000341,2
